,col1,ra,dec,type,u,g,r,i,z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,specobjid,redshift,redshiftErr,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,sii_6717_flux_err,sii_6731_flux_err,oi_6300_flux_err,logMass,logMass_err,Log_NII_on_Halpha,Log_OIII_on_Hbeta,Log_NII_on_Halpha_err,Log_OIII_on_Hbeta_err,Category
834,1437,228.6657997621633,26.59419813039292,3,16.954718,15.197451,14.308501,13.869657,13.533962,0.014385229,0.0025087674,0.002214052,0.0021889878,0.0036638374,2425198371095472128,0.032175023,1.4994071e-05,559.18115,137.20248,560.70197,813.0482,292.90784,190.40302,92.14069,11.7206335,6.8513722,9.425654,11.566855,8.636278,8.269033,6.9396877,11.081587006151151,0.0068975922004652,0.16256376975625372,0.611370120453671,0.025332400356502513,0.052689815376573204,Liner
835,1438,229.3763895343636,25.7938687650088,3,19.329538,18.096224,17.528727,17.16036,16.986048,0.04064236,0.0072581084,0.006923622,0.0073190136,0.020767314,2428579089490143232,0.09555013,7.978662e-06,367.55276,95.14453,34.89309,135.26773,60.365223,44.4848,10.940085,4.401315,3.3055844,2.907945,2.636278,2.9062607,2.406831,1.9077624,10.455702103298828,0.049958173415006,-0.43412548631006287,-0.4356443944806226,0.022874141478139938,0.09029064206155964,SF
836,1439,229.37598094401187,27.6286512138144,3,19.180641,17.46696,16.608017,16.195065,15.892072,0.032537326,0.0054107406,0.0041638995,0.004196191,0.008217776,2428689315530827776,0.08343243,1.3251731e-05,154.14032,35.708508,54.835903,132.92018,56.509087,45.81587,14.430471,4.023639,2.9480057,3.773374,4.0210853,5.123249,3.6986718,3.2082763,10.756422217905396,0.0691449599615703,-0.06432533553250036,0.18629329497812377,0.03995724621261485,0.10747487781305208,Liner
837,1441,229.7062250416932,27.40453642660031,3,18.701487,17.117245,16.2728,15.802879,15.480683,0.045337796,0.0056830323,0.0042423876,0.00421931,0.009274306,2428720926490126336,0.08194726,1.4722944e-05,95.45994,16.769594,13.779289,49.549976,18.035818,12.112583,4.495137,2.7148578,2.1275904,2.218348,2.3889213,2.2173042,2.7298863,1.7771726,11.19733201042934,0.0155482349883226,-0.28477770859393375,-0.08529573934241438,0.05597545580690782,0.2049749614984574,Comp.
838,1443,229.63273467058656,25.83390571680244,3,19.491798,18.018492,17.144478,16.61116,16.26656,0.048085447,0.006942165,0.0051531033,0.0047380864,0.009543015,2432027426843289600,0.13033815,1.158596e-05,571.27344,93.75431,31.678984,231.81064,82.0735,69.6187,13.088964,6.668945,3.6469073,3.5347657,4.5641503,3.9268816,5.8840466,2.6391196,11.305824362797004,0.0049571022063756,-0.39171066704205976,-0.47121999734280384,0.022889737069414523,0.11816669509836902,SF
839,1444,229.61479415854927,25.654015376302137,3,19.856663,18.388119,17.732973,17.296425,16.9968,0.09047209,0.010710981,0.01008863,0.010600609,0.02707979,2432029350988638208,0.0859413,1.2343895e-05,84.94008,19.60732,13.009325,28.769043,21.254593,14.081028,4.7847543,2.2053208,2.0024555,2.3145905,1.8234122,1.9963654,1.9072931,1.5105575,10.468977237386165,0.0515527487644948,-0.47018725033283837,-0.1781634733667207,0.06849268735626232,0.20514595598495447,SF
840,1445,232.50853340032972,26.09000249020898,3,20.047882,18.699486,17.840424,17.428276,17.11258,0.057249866,0.010361695,0.007368338,0.007658052,0.019092118,2435433437948045312,0.1746362,1.3572987e-05,120.01148,25.720835,10.280742,46.66982,16.584423,8.972673,3.5648599,4.3735933,2.3634884,2.421326,2.5330317,5.527437,2.0616264,2.324094,10.86356296867677,0.074830313543255,-0.4101866657001203,-0.3982606029326974,0.06537537957513208,0.25281160442567396,SF
841,1446,229.1665010174874,27.57209319061233,3,19.574196,18.22964,17.577702,17.203537,16.975634,0.06280764,0.009193462,0.007564134,0.008177353,0.020624766,2428681344071526400,0.081907734,1.12955995e-05,120.11541,33.025154,8.409717,50.34653,21.65119,18.548946,4.7619796,2.2243578,1.897083,1.6889075,1.6839619,1.6096423,2.0708425,1.1949956,10.41544511676365,0.0635578134279496,-0.3776291847062664,-0.59406347009324,0.03823173304231641,0.2088820025919285,SF
842,1447,229.49845407796585,27.33779364650076,3,18.617674,16.934128,16.060028,15.603027,15.308749,0.041350715,0.0054527954,0.004038684,0.0040604207,0.008274502,2428710206251755520,0.081827,1.4840553e-05,211.97618,44.412724,15.316412,102.80798,23.634811,11.752192,3.827298,4.415216,3.1510823,3.1225939,3.6843088,3.1499043,3.6453047,2.6474535,11.088351942518337,0.0280130232748126,-0.3142602354210579,-0.4623503708816685,0.04145016619475246,0.21586538052250542,SF
843,1448,229.7611327888987,27.115583194858143,3,17.821074,16.375357,15.614744,15.192765,14.919632,0.03191741,0.004664565,0.0038925714,0.004203779,0.009583046,2428715978687801344,0.08091196,1.3307946e-05,120.33788,28.307062,25.334515,68.81482,18.452425,14.993608,9.749849,3.1104772,2.3356993,2.7018807,2.8516452,2.51601,4.614425,2.142629,11.173318301140378,0.0347588030231458,-0.24272037800717633,-0.04818220148539972,0.04883990564828721,0.13484149379567423,Comp.
844,1449,229.90869366120825,27.30565216797173,3,19.551075,17.96209,17.073288,16.641537,16.304716,0.052909758,0.00833088,0.0058955727,0.0058531836,0.013407456,2428734945263380480,0.08337989,1.3672878e-05,106.25024,22.072922,7.3369937,61.908684,9.82856,12.838692,3.8144815,2.7102993,2.091072,2.2649045,2.4605227,4.3302197,2.269135,2.1056304,10.72284911233222,0.0466137963620318,-0.2345783474524493,-0.4783416824442973,0.04722612734275205,0.32290589097648387,Comp.
845,1451,229.8556366757216,25.78711974574045,3,16.930674,14.921441,14.018212,13.582489,13.219505,0.012934129,0.0022499743,0.0019508796,0.0019227418,0.0026671507,2432015881971197952,0.03232086,9.752105e-06,225.74811,72.450905,107.70383,312.3302,82.92687,59.05796,22.588816,13.940116,9.241161,9.890458,14.200685,11.994716,12.155738,11.040427,10.970669519375212,0.0263526405131755,0.14098985628008226,0.1721873325854186,0.07668372923286222,0.15716852967550243,Liner
846,1452,229.8370396131612,25.46259242456208,3,19.399313,18.040628,17.31826,16.902239,16.645573,0.045946393,0.0077427486,0.0060934615,0.0060476474,0.014386017,2432019180506081280,0.085350975,8.357346e-06,209.77713,44.49328,12.479581,67.04793,39.72205,30.175394,7.2794333,3.2750373,2.392161,2.2853153,2.2646532,2.2569737,2.3833294,1.7062176,10.558983123547268,0.0326823467296894,-0.49537276522087637,-0.5520944184608508,0.037210144726715785,0.1908537610642679,SF
847,1453,232.1962981258393,26.08601555125264,3,19.506243,18.337193,17.649727,17.27181,17.039433,0.04845506,0.008496604,0.007278309,0.008194407,0.021015976,2432116487285139456,0.120565794,9.187955e-06,191.00986,42.81845,9.245995,70.62464,29.388689,19.82741,4.5234346,3.6896267,2.3443007,2.32545,2.6092322,2.9885325,2.0469139,1.6309638,10.72492353837898,0.0442103681160225,-0.43209953919603017,-0.6656772878189293,0.04169007329440894,0.2573990353742501,SF
848,1454,231.57639247201723,25.41850524716031,3,18.190224,16.944204,16.495556,16.246042,16.037985,0.032042053,0.0048017004,0.0056977137,0.00642349,0.021226253,2431952110296786944,0.033570632,6.5074846e-06,362.07312,91.31212,63.80638,89.2379,81.54772,57.417744,14.467531,4.530297,2.9099653,2.9121792,2.4226882,2.5141528,2.1835945,1.6966443,9.470354637154044,0.0172599485485224,-0.6082469427085827,-0.1556643199456829,0.02989317287689087,0.05566579346328892,SF
849,1455,229.8687835172925,25.718507035972884,3,18.726385,17.097115,16.308586,15.896858,15.554958,0.04636454,0.005508509,0.0043829065,0.0043188017,0.009292038,2432019730261895168,0.083262436,1.4865891e-05,125.521065,26.288696,8.932003,41.25183,19.804798,11.721665,7.540485,3.083694,2.495666,2.6852925,2.5331888,4.561656,2.3603115,2.1974928,11.073628521311502,0.0451557415404235,-0.48327339608216435,-0.46882018403519365,0.0661398242285251,0.3152697542402271,SF
850,1456,230.16541036202267,26.782410071499697,3,19.663311,18.046719,17.246536,16.802328,16.56738,0.047961745,0.0067154253,0.005320831,0.0055912584,0.012712099,2432034023913056256,0.06574744,1.7375944e-05,101.82238,25.036682,44.109936,61.392162,26.348068,18.463156,7.2337275,3.0458627,2.3769274,2.9156928,2.6846223,2.3354838,2.3371682,2.0234835,10.493362237493514,0.0431151769278437,-0.21973031617446578,0.24595965441455359,0.052981587692343554,0.1156826394142423,Comp.
851,1457,231.3588575952728,25.840260060529573,3,18.545034,17.21116,16.612051,16.26456,15.98326,0.038694076,0.0062058624,0.0052787745,0.005527596,0.016573124,2432097795587467264,0.06806569,1.2736631e-05,145.39383,36.056717,10.471547,58.22819,24.49578,19.55679,4.096438,2.7614858,1.9617543,1.7973492,1.9850194,1.7423674,1.6987274,1.3934902,10.353779925876225,0.0740227606597924,-0.3974126865444596,-0.5369753349078814,0.03902424208019539,0.18005799910605066,SF
852,1458,231.67765664656685,26.374476073637524,3,18.860313,17.746775,17.313269,16.977434,16.938408,0.038874887,0.008335367,0.007842657,0.008715403,0.029559007,2432100819244443648,0.073612355,9.067175e-06,106.37524,29.390375,12.223313,37.704956,21.738863,14.275853,3.2672908,2.191872,1.6696463,1.5812246,1.5090765,1.4084756,1.3850719,1.1453828,10.128673733704252,0.0571267035184018,-0.4504421146111117,-0.3810161945945844,0.045015929935747455,0.1412857428164447,SF
853,1459,232.72193851268867,25.891738758089684,3,18.38463,17.281828,16.700766,16.344162,16.130646,0.03169595,0.0056362203,0.005212993,0.0059508258,0.015378924,2435436186727114752,0.09668573,1.0239081e-05,194.44504,40.1107,6.124777,66.87783,27.516745,18.406233,3.575698,3.3928292,2.2117002,2.0515985,2.3024902,2.3798378,2.0043538,1.8610274,10.804827351008784,0.0245418266175722,-0.46351469641810267,-0.8161699603415201,0.03859751366483837,0.3394750882430218,SF
854,1460,229.22791839075904,26.02101238771532,3,19.349348,18.070343,17.575111,17.207163,17.010553,0.046317466,0.007462297,0.006984687,0.0071235453,0.017941274,2428595307286652928,0.071771756,6.4283204e-06,365.3253,81.07817,102.29367,73.8592,74.200294,53.77589,15.904239,4.3354516,2.5916524,3.0975597,2.044675,2.1420236,1.9260749,1.4810357,10.193342376069369,0.0663471472773362,-0.6942751502855462,0.10094482236046437,0.030119862117399178,0.044030606169023566,SF
855,1461,229.09343599284017,26.229932149989253,3,19.047155,18.086056,17.674305,17.424955,17.243061,0.038010933,0.008088096,0.007736066,0.0084735,0.022124646,2428607127036651520,0.03286803,7.859643e-06,635.88226,165.1694,175.58601,122.71225,117.5292,96.99938,18.426271,9.717302,9.681418,9.755931,5.0677624,5.7758627,5.540697,4.491979,9.087409523112768,0.0340672706881152,-0.7144887898768397,0.026560318923265765,0.044034609410409924,0.08076433059642382,SF
